uuid	in_hname	out_hname	recovery	snptot	rank_w	rank_uw	reads_propdrop	n_outhaps
4447c145-9bda-4847-a394-9225b9d3dee3	AK232978	1__-39.45	93.8775510204	174	3	9	2.60586319218	29
4447c145-9bda-4847-a394-9225b9d3dee3	BC070280	26__-26.95	95.4081632653	174	14	2	0.0	29
4447c145-9bda-4847-a394-9225b9d3dee3	M19237	20__-81.74	99.4764397906	174	6	28	18.9368770764	29
4447c145-9bda-4847-a394-9225b9d3dee3	XM_014960529	12__-75.81	72.0207253886	174	22	22	28.0	29
4447c145-9bda-4847-a394-9225b9d3dee3	XR_634888	17__-25.14	98.4693877551	174	8	0	0.977198697068	29
5b17138c-7508-474e-a471-a52b8dbf29f6	AK232978	0__-45.88	96.9387755102	174	7	15	2.76872964169	51
5b17138c-7508-474e-a471-a52b8dbf29f6	BC070280	3__-25.13	97.9591836735	174	2	2	0.0	51
5b17138c-7508-474e-a471-a52b8dbf29f6	M19237	19__-76.43	99.4764397906	174	4	38	14.950166113	51
5b17138c-7508-474e-a471-a52b8dbf29f6	XM_014960529	21__-75.87	76.6839378238	174	47	35	24.7920133111	51
5b17138c-7508-474e-a471-a52b8dbf29f6	XR_634888	1__-24.43	95.4081632653	174	0	0	0.325732899023	51
48e7ab91-c41b-4f49-87b0-91855d82cad7	AK232978	10__-44.72	93.3673469388	196	7	8	0.0	16
48e7ab91-c41b-4f49-87b0-91855d82cad7	BC070280	0__-32.67	96.9387755102	196	0	2	0.0	16
48e7ab91-c41b-4f49-87b0-91855d82cad7	M19237	12__-32.15	51.832460733	196	8	1	0.0	16
48e7ab91-c41b-4f49-87b0-91855d82cad7	XM_014960529	4__-95.55	92.7461139896	196	9	12	0.0	16
48e7ab91-c41b-4f49-87b0-91855d82cad7	XR_634888	3__-33.97	96.4285714286	196	3	4	0.0	16
e0c16144-fce3-4b06-9d03-b4e33c67fc82	AK232978	4__-26.69	78.5714285714	165	2	0	8.33333333333	6
e0c16144-fce3-4b06-9d03-b4e33c67fc82	BC070280	4__-26.69	89.2857142857	165	2	0	0.0	6
e0c16144-fce3-4b06-9d03-b4e33c67fc82	M19237	3__-37.37	64.9214659686	165	4	4	8.33333333333	6
e0c16144-fce3-4b06-9d03-b4e33c67fc82	XM_014960529	5__-52.53	60.103626943	165	5	5	25.0	6
e0c16144-fce3-4b06-9d03-b4e33c67fc82	XR_634888	0__-31.61	86.7346938776	165	0	3	0.0	6
7fbfa07b-237c-4233-8e0c-bdcf9f95d28f	AK232978	1__-49.69	94.8979591837	174	6	13	3.25732899023	22
7fbfa07b-237c-4233-8e0c-bdcf9f95d28f	BC070280	0__-23.66	97.4489795918	174	0	0	0.0	22
7fbfa07b-237c-4233-8e0c-bdcf9f95d28f	M19237	14__-80.61	100.0	174	3	21	16.2790697674	22
7fbfa07b-237c-4233-8e0c-bdcf9f95d28f	XM_014960529	12__-76.77	76.6839378238	174	21	19	32.6666666667	22
7fbfa07b-237c-4233-8e0c-bdcf9f95d28f	XR_634888	2__-24.63	97.9591836735	174	1	1	0.651465798046	22
f5e7520d-a3e2-4bc4-8598-b8f2d3f21e01	AK232978	0__-43.53	100.0	196	4	11	0.0	23
f5e7520d-a3e2-4bc4-8598-b8f2d3f21e01	BC070280	8__-30.56	97.4489795918	196	10	0	0.0	23
f5e7520d-a3e2-4bc4-8598-b8f2d3f21e01	M19237	18__-70.18	99.4764397906	196	1	18	0.0	23
f5e7520d-a3e2-4bc4-8598-b8f2d3f21e01	XM_014960529	4__-87.38	98.9637305699	196	11	20	2.17391304348	23
f5e7520d-a3e2-4bc4-8598-b8f2d3f21e01	XR_634888	1__-31.14	97.4489795918	196	0	1	0.0	23
579a9d0f-b258-48c8-86f8-388f4566531f	AK232978	18__-45.21	93.3673469388	196	11	8	0.0	25
579a9d0f-b258-48c8-86f8-388f4566531f	BC070280	16__-33.06	96.4285714286	196	8	3	0.0	25
579a9d0f-b258-48c8-86f8-388f4566531f	M19237	21__-69.44	99.4764397906	196	1	11	0.0	25
579a9d0f-b258-48c8-86f8-388f4566531f	XM_014960529	0__-87.10	97.9274611399	196	13	24	0.0	25
579a9d0f-b258-48c8-86f8-388f4566531f	XR_634888	20__-33.03	99.4897959184	196	10	2	0.0	25
79c7dbef-abd8-4d6c-a5fd-be8aee109772	AK232978	5__-45.56	100.0	196	4	10	0.0	26
79c7dbef-abd8-4d6c-a5fd-be8aee109772	BC070280	4__-33.20	96.9387755102	196	3	2	0.0	26
79c7dbef-abd8-4d6c-a5fd-be8aee109772	M19237	18__-69.68	100.0	196	0	14	0.0	26
79c7dbef-abd8-4d6c-a5fd-be8aee109772	XM_014960529	1__-85.24	99.481865285	196	16	15	0.0	26
79c7dbef-abd8-4d6c-a5fd-be8aee109772	XR_634888	2__-31.86	97.9591836735	196	2	0	0.0	26
796e76c0-13e0-4bea-9def-88ada6a7bc80	AK232978	0__-44.75	100.0	196	3	8	0.0	43
796e76c0-13e0-4bea-9def-88ada6a7bc80	BC070280	4__-32.04	96.4285714286	196	7	3	0.0	43
796e76c0-13e0-4bea-9def-88ada6a7bc80	M19237	10__-67.67	100.0	196	4	23	0.854700854701	43
796e76c0-13e0-4bea-9def-88ada6a7bc80	XM_014960529	2__-86.21	99.481865285	196	25	35	0.0	43
796e76c0-13e0-4bea-9def-88ada6a7bc80	XR_634888	8__-32.34	98.9795918367	196	14	4	0.0	43
2fdec79a-b500-4c8d-8d5d-d49bdf816fdf	AK232978	1__-45.53	93.8775510204	161	6	7	2.35294117647	18
2fdec79a-b500-4c8d-8d5d-d49bdf816fdf	BC070280	0__-23.27	97.4489795918	161	0	0	0.0	18
2fdec79a-b500-4c8d-8d5d-d49bdf816fdf	M19237	6__-56.76	85.3403141361	161	4	14	19.0476190476	18
2fdec79a-b500-4c8d-8d5d-d49bdf816fdf	XM_014960529	10__-75.38	74.0932642487	161	16	16	30.9523809524	18
2fdec79a-b500-4c8d-8d5d-d49bdf816fdf	XR_634888	0__-23.27	94.8979591837	161	0	0	0.0	18
1f5da96d-02fa-474a-8594-577a8fd19db0	AK232978	0__-44.15	100.0	196	4	9	0.0	43
1f5da96d-02fa-474a-8594-577a8fd19db0	BC070280	14__-33.21	96.9387755102	196	24	5	0.0	43
1f5da96d-02fa-474a-8594-577a8fd19db0	M19237	10__-68.41	100.0	196	3	28	0.42735042735	43
1f5da96d-02fa-474a-8594-577a8fd19db0	XM_014960529	1__-87.89	99.481865285	196	31	34	0.858369098712	43
1f5da96d-02fa-474a-8594-577a8fd19db0	XR_634888	5__-32.20	97.9591836735	196	12	3	0.0	43
bd50d7dd-611f-476e-8752-34d48844fc46	AK232978	8__-46.16	98.9795918367	196	11	10	0.0	19
bd50d7dd-611f-476e-8752-34d48844fc46	BC070280	5__-30.42	97.4489795918	196	6	0	0.0	19
bd50d7dd-611f-476e-8752-34d48844fc46	M19237	12__-65.90	98.9528795812	196	3	14	0.0	19
bd50d7dd-611f-476e-8752-34d48844fc46	XM_014960529	15__-93.38	95.8549222798	196	10	16	0.0	19
bd50d7dd-611f-476e-8752-34d48844fc46	XR_634888	7__-32.51	98.4693877551	196	8	2	0.0	19
d3057e52-c227-423f-a1fd-4a306afdf8da	AK232978	1__-47.44	92.8571428571	169	4	9	0.0	13
d3057e52-c227-423f-a1fd-4a306afdf8da	BC070280	0__-24.06	97.9591836735	169	0	0	0.0	13
d3057e52-c227-423f-a1fd-4a306afdf8da	M19237	9__-46.97	80.6282722513	169	3	8	10.7142857143	13
d3057e52-c227-423f-a1fd-4a306afdf8da	XM_014960529	11__-84.14	70.9844559585	169	10	12	25.0	13
d3057e52-c227-423f-a1fd-4a306afdf8da	XR_634888	2__-24.58	96.4285714286	169	1	2	0.0	13
c48ccdab-85c3-437e-bca1-cab97a79013e	AK232978	5__-46.97	97.4489795918	196	7	7	0.0	12
c48ccdab-85c3-437e-bca1-cab97a79013e	BC070280	7__-30.27	97.4489795918	196	6	1	0.0	12
c48ccdab-85c3-437e-bca1-cab97a79013e	M19237	11__-48.07	80.1047120419	196	4	8	0.0	12
c48ccdab-85c3-437e-bca1-cab97a79013e	XM_014960529	4__-101.14	88.6010362694	196	11	11	0.0	12
c48ccdab-85c3-437e-bca1-cab97a79013e	XR_634888	3__-29.09	95.9183673469	196	2	0	0.0	12
807bd9ca-06ec-4e1f-ac80-b2154c394121	AK232978	1__-43.78	100.0	196	3	10	0.0	20
807bd9ca-06ec-4e1f-ac80-b2154c394121	BC070280	8__-33.21	95.9183673469	196	9	3	0.0	20
807bd9ca-06ec-4e1f-ac80-b2154c394121	M19237	12__-68.56	100.0	196	5	16	0.854700854701	20
807bd9ca-06ec-4e1f-ac80-b2154c394121	XM_014960529	2__-85.54	99.481865285	196	12	18	0.862068965517	20
807bd9ca-06ec-4e1f-ac80-b2154c394121	XR_634888	4__-32.69	98.9795918367	196	6	1	0.0	20
3559931e-04c7-41c6-b8dd-5f5085456254	AK232978	11__-45.63	93.8775510204	174	32	14	3.74592833876	36
3559931e-04c7-41c6-b8dd-5f5085456254	BC070280	0__-23.01	98.9795918367	174	0	0	0.0	36
3559931e-04c7-41c6-b8dd-5f5085456254	M19237	14__-80.56	99.4764397906	174	3	26	17.1096345515	36
3559931e-04c7-41c6-b8dd-5f5085456254	XM_014960529	4__-71.97	72.5388601036	174	24	22	24.9584026622	36
3559931e-04c7-41c6-b8dd-5f5085456254	XR_634888	13__-24.61	96.9387755102	174	17	1	0.651465798046	36
d89b5f59-2984-40ba-89ed-9ebc3935e2d8	AK232978	2__-36.01	87.2448979592	174	2	5	1.6393442623	13
d89b5f59-2984-40ba-89ed-9ebc3935e2d8	BC070280	7__-28.01	93.8775510204	174	4	2	0.0	13
d89b5f59-2984-40ba-89ed-9ebc3935e2d8	M19237	11__-63.34	79.5811518325	174	5	7	18.3333333333	13
d89b5f59-2984-40ba-89ed-9ebc3935e2d8	XM_014960529	3__-76.76	69.4300518135	174	11	11	25.8333333333	13
d89b5f59-2984-40ba-89ed-9ebc3935e2d8	XR_634888	0__-25.81	92.3469387755	174	0	0	1.6393442623	13
5f966800-a4e1-4fe4-b601-190a26c29c8a	AK232978	2__-32.93	86.7346938776	164	2	4	6.55737704918	14
5f966800-a4e1-4fe4-b601-190a26c29c8a	BC070280	3__-23.81	95.9183673469	164	1	0	0.0	14
5f966800-a4e1-4fe4-b601-190a26c29c8a	M19237	7__-43.98	69.6335078534	164	5	10	18.3333333333	14
5f966800-a4e1-4fe4-b601-190a26c29c8a	XM_014960529	10__-44.38	47.6683937824	164	12	11	36.6666666667	14
5f966800-a4e1-4fe4-b601-190a26c29c8a	XR_634888	3__-23.81	94.387755102	164	1	0	0.0	14
c9979560-b793-4a3c-a6bb-d24900d76155	AK232978	3__-44.65	99.4897959184	196	4	11	0.0	30
c9979560-b793-4a3c-a6bb-d24900d76155	BC070280	9__-33.06	96.4285714286	196	5	3	0.0	30
c9979560-b793-4a3c-a6bb-d24900d76155	M19237	20__-70.57	100.0	196	1	17	0.0	30
c9979560-b793-4a3c-a6bb-d24900d76155	XM_014960529	2__-92.19	95.3367875648	196	22	21	0.0	30
c9979560-b793-4a3c-a6bb-d24900d76155	XR_634888	0__-31.59	97.9591836735	196	0	0	0.0	30
